City,Population,Latitude,Longitude,Area,Population Density,Bounding Box
Brazil,8212,39.523652,-87.1250154,147.51221811208268,55.66996486867522,"[-22.2210447, -22.0455114, -51.3215375, -51.203]"
Plainfield,24734,39.703872,-86.399477,57.44721145579153,430.5517948253073,"[39.6586138, 39.7504232, -86.4473385, -86.3263232]"
Gas City,5791,40.4880229,-85.6125667,11.254432283338634,514.5528316495496,"[40.47402, 40.518708, -85.6260176, -85.53998]"
Hammond,77879,41.6173959,-87.5220108,63.52383159514286,1225.980833,"[41.566373, 41.7100956, -87.5253944, -87.4323597]"
Avon,12446,39.7628227,-86.3997168,37.422594648427804,332.57982555527803,"[39.7190598, 39.8049649, -86.450023, -86.3267024]"
Noblesville,69604,40.0455918,-86.0085955,96.57412515923494,720.7313541306679,"[39.9867324, 40.1017549, -86.0905539, -85.8622345]"
Beech Grove,14082,39.7221906,-86.0894158,11.54622430918769,1219.6194723841036,"[39.69431, 39.733655, -86.113115, -86.0522724]"
La Porte,22471,41.6105983,-86.7225227,40.19270087,559.0816122068475,"[41.561349, 41.6689606, -86.7648972, -86.6708047]"
Batesville,6520,39.3000065,-85.222184,15.92508086264381,409.41707337224653,"[39.27223, 39.323273, -85.256024, -85.179657]"
Munster,23894,41.5644798,-87.5125412,20.28048697425581,1178.1768371899161,"[41.522608, 41.5813891, -87.5255029, -87.480623]"
Madison,12575,38.7358933,-85.3799577,1198.1931486059002,10.494969041202609,"[39.943638, 40.3796819, -85.863022, -85.5753943]"
Mishawaka,49245,41.6611642,-86.1807031,45.50953572721261,1082.0809136612165,"[41.6240649, 41.7314157, -86.2158454, -86.097463]"
Warsaw,13082,41.2381017,-85.8530544,34.05573096105086,384.13505248093867,"[41.204872, 41.290284, -85.891257, -85.782311]"
Greenfield,17453,39.7855096,-85.7681979,32.89217544,530.6125170106717,"[39.7535519, 39.828817, -85.8306, -85.7269134]"
Sullivan,4264,39.0952593,-87.4077845,1212.2495414550096,3.5174276039585948,"[38.9015485, 39.260612, -87.658745, -87.240371]"
Churubusco,1782,41.2306037,-85.3194291,2.8136050808443227,633.3511451668431,"[41.218691, 41.2408239, -85.3353196, -85.309507]"
Jeffersonville,49450,38.2770227,-85.7371604,57.92466356949799,853.6950748219696,"[38.266981, 38.400811, -85.757965, -85.633841]"
North Vernon,6728,39.006165,-85.6235796,16.438249341550662,409.28932638792367,"[38.9810791, 39.0514634, -85.651648, -85.593161]"
Kokomo,57000,40.4864444,-86.1336351,99.45773895361289,573.1077400280013,"[40.4102681, 40.5346033, -86.184256, -86.069902]"
Zionsville,12352,39.950724,-86.2616968,33.914269307915994,364.2124761071263,"[39.9250304, 40.0060297, -86.3175551, -86.2407488]"
Terre Haute,57259,39.4667025,-87.4139119,96.21881203787848,595.0915292682978,"[39.401528, 39.528696, -87.469768, -87.276923]"
Wabash,11108,40.797821,-85.8205411,1112.0745299091807,9.988539168240058,"[40.6510792, 41.0466668, -85.9465152, -85.6384461]"
Carmel,99757,39.9784186,-86.1283681,132.88550632851954,750.6988742126681,"[39.9260355, 40.0031206, -86.2410714, -86.023519]"
New Castle,18663,39.9289351,-85.3702477,19.387213705561372,962.6447762654194,"[39.855729, 39.9495355, -85.410127, -85.3376177]"
Chesterton,12456,41.6107243,-87.0522661,23.46198521762125,530.9013659528202,"[41.550197, 41.644854, -87.1248017, -87.018808]"
Logansport,18366,40.7542375,-86.3625191,23.581397612183313,778.8342447739916,"[40.707022, 40.775348, -86.393973, -86.3026913]"
Fort Wayne,248637,41.0799898,-85.1386015,292.4700079724444,850.1281951051398,"[40.9650987, 41.2005181, -85.3034832, -85.0007277]"
Westfield,50630,40.0428151,-86.1274888,87.23998114671113,580.3531744792073,"[39.9986939, 40.1015818, -86.2413219, -86.0895378]"
Rochester,6460,41.0648846,-86.2159959,15.27988219633213,422.77812858731954,"[41.0385726, 41.083081, -86.228234, -86.159566]"
Rushville,6341,39.6080469,-85.4453688,8.132537339041349,779.7074561,"[39.589453, 39.6503819, -85.462901, -85.42724]"
Rensselaer,5859,40.9367045,-87.1508562,9.711006710523222,603.3360056945446,"[40.906364, 40.955425, -87.182524, -87.132558]"
Alexandria,5888,40.2635468,-85.6744815,7.143027148355527,824.300381,"[40.233988, 40.280651, -85.6963618, -85.661175]"
Kendallville,10199,41.4414385,-85.2649754,16.534738259692432,616.8225852635732,"[41.419848, 41.476385, -85.303366, -85.197055]"
Huntertown,2144,41.2283821,-85.1724741,10.27515221087916,208.65870947682592,"[41.191111, 41.2429122, -85.210201, -85.1530653]"
Michigan City,32116,41.7075394,-86.8950297,52.29130442083691,614.1747725689263,"[41.665809, 41.753454, -86.9326811, -86.816085]"
Nappanee,6648,41.4427856,-86.0013699,11.435265727719829,581.3594680082348,"[41.4258007, 41.4656987, -86.0401725, -85.9292441]"
